real_estate_link,license_number,license_type,legal_form,arabic_trade_name,english_trade_name,license_start_date,license_expiry_date,activities,est_banning_status,area
https://eservices.ajmanded.ae/en/TradeLicense/License/a9a5cfd1-5001-4c7d-b31f-7e0e0982255f,7250,Trade License,Sole Establishment,مكتب النخيلات للعقارات,AL NAKHEELAT REAL ESTATE OFFICE,13/12/1987,26/09/2025,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/2a7d524f-00c1-4fa3-a3d6-90bef6f6e3d9,7260,Trade License,Sole Establishment,مكتب ساحل الخليج العقاري,.GULF COST REAL ESTATE,14/12/1987,07/02/2009,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/d6fbf1f3-5644-4c5b-a28c-091f7caf918d,8372,Trade License,Sole Establishment,مؤسسة البرج لتجارة العقارات,.AL BURJ REAL ESTATE TRADING EST,15/05/1988,17/10/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/d5caf84c-8c85-4115-a15d-09ce18e6db7b,8497,Trade License,Sole Establishment,مركز السلام للعقارات,AL SALAM REAL ESTATE CENTER,31/05/1988,21/02/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/d8854970-15f2-4fe6-9d90-d18e1143fe8b,8556,Professional License,Sole Establishment,مكتب الهيف العقاري,AL HAIF REAL ESTATE OFFICE,06/06/1988,10/01/2026,"['Real Estate Lease and Management Services', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nakheel2
https://eservices.ajmanded.ae/en/TradeLicense/License/e97a5abe-1ec3-4bf4-94d4-56c4f3277e35,8907,Trade License,L.L.C (SOLE PROPRIETORSHIP),مكتب العلا للعقارات ذ.م.م (شركة الشخص الواحد),AL OLA REAL ESTATE OFFICE L.L.C (SOLE PROPRIETORSHIP),19/07/1988,06/11/2025,"['Real Estate Lease and Management Services', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/3bd3af4e-c46c-43d9-9b62-4fa1ce6bfaf7,9279,Trade License,Sole Establishment,المعمورة للعقارات,AL MAMORA REAL ESTATE,01/09/1988,11/04/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/fedd9354-7fa3-4c61-b3f8-454170d115cc,9572,Trade License,Sole Establishment,الدانة لبيع وشراء وتأجير العقارات,.AL DANA REAL ESTATE & CONT,05/10/1988,07/09/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/cb087e61-bbb4-453e-a811-56aee2085c2b,9889,Trade License,Sole Establishment,شركة الامارات للاستثمارات العقارية,.EMIRATES REAL ESTATE INVESTMENT CO,17/11/1988,01/07/2002,not available,Prohibited ,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/1ca3eea7-3a0e-4c8d-bc0d-0f82918b63a9,10239,Trade License,Sole Establishment,مؤسسة خلفان الكعبي للعقارات,KHALFAN ALKAABI REAL ESTATE.EST .,08/01/1989,05/01/2026,['Self-owned Property Management Services'],Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/effec311-8274-46d1-b799-49249be43816,11301,Trade License,Limited Liability Company,الخليجية للعقارات (ذ.م.م),(GULF REAL ESTATE (L.L.C,15/06/1989,19/09/2006,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/452c4b12-90a7-4694-bf78-4471fe432468,11356,Trade License,Sole Establishment,الشيبة للعقارات,AL SHAIBA REAL ESTATE,22/05/1989,27/06/2019,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/6285e707-4b3a-452f-be27-5a04cd84327b,11892,Trade License,Sole Establishment,جلوكل للعقارات,GLOCAL REAL ESTATE,03/08/1989,18/02/2012,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/24405ad0-d3b4-4ed5-b8c6-52100222efb9,12461,Trade License,Sole Establishment,مركز الخليج والكويت للعقارات, KHALEEJ & KUWAIT REAL ESTATE CENTRE,02/11/1989,21/03/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/dd49872e-9cbe-4c1b-9650-1a09b3c3b713,12542,Trade License,Sole Establishment,مركز ديلمون للعقارات,.DELMON REAL ESTATE CENTRE,13/11/1989,06/01/2020,['Land and Real Estate Purchase and Sale'],Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/6159b90e-498c-4f2c-abac-bbc3adc487c5,13019,Trade License,Sole Establishment,المؤسسة الوطنية للعقارات,.AL WATANIA REAL ESTATE EST,07/02/1990,19/05/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/8088da9c-7960-43a1-b752-31ab0844e499,13428,Trade License,.,نسمة الساحل للعقارات,NASMAT AL SAHEL REAL ESTATE,02/04/1990,07/11/2000,['Real Estate Lease and Management Services'],Prohibited ,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/d517120f-b0b1-4581-8adf-641cfd19d46f,13610,Trade License,Limited Liability Company,صاحب للعقارات /(ذ.م.م.),SAHIB REAL ESTATE /L.L.C,09/05/1990,07/01/2009,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Liwara1
https://eservices.ajmanded.ae/en/TradeLicense/License/df471770-1083-41d6-b4f7-c9f08fef6b90,16096,Professional License,Sole Establishment,مكتب الوحدة للعقارات,AL WAHDA REAL ESTATE OFFICE,12/09/1979,08/03/2026,"['Real Estate Lease and Management Services', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/f0a61b7e-603b-460b-800f-b9952c268309,17743,Trade License,Sole Establishment,الاندلس للعقارات,AL ANDALOS REAL ESTATE,12/09/1992,03/06/2003,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/28e8875e-d786-4713-aaa8-056961b7ef1e,19338,Trade License,Sole Establishment,يازكو للعقارات,.YAZCO REAL ESTATE,24/07/1994,19/02/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/698fa413-4f18-40dd-91a5-8642d0486fed,19384,Trade License,Sole Establishment,مؤسسة الخليج العربي العقارية,.AL KHALEEJ AL ARABI REAL ESTATE EST,24/06/1993,13/08/2001,not available,Unprohibited,Liwara1
https://eservices.ajmanded.ae/en/TradeLicense/License/29c2d3ff-ad6d-4fc3-8fbe-c79c33055cd3,19574,Trade License,Sole Establishment,مؤسسة سيف النعيمي للعقارات,.SAIF AL NUAEMI REAL ESTATE EST,21/07/1993,01/05/2008,['Land and Real Estate Purchase and Sale'],Unprohibited,Rashideya1
https://eservices.ajmanded.ae/en/TradeLicense/License/1eee8785-284a-4136-8c8b-5a564dfd36d2,20737,Trade License,Sole Establishment,المؤسسة المتحدة للعقارات,.UNITED REAL ESTATE EST,18/01/1994,28/07/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rawdha2
https://eservices.ajmanded.ae/en/TradeLicense/License/8ed5a2c6-b755-4795-8825-3bcb3c124c09,21338,Trade License,Sole Establishment,المدن للعقارات,.AL MADAN REAL ESTATE,12/07/1994,01/08/2008,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/1e608f10-4ae4-478d-b417-747c60cb94f0,21366,Trade License,Sole Establishment,العدل للعقارات,AL ADEL REAL ESTATE,03/05/1994,12/02/2022,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/596c6053-88ec-443a-a3ed-8d99d0f096cf,21382,Trade License,Limited Liability Company,الشركة الاهلية العقارية (ذ.م.م),(.AL AHLIA REAL ESTATE CO(L.L.C,04/05/1994,27/02/2026,['Land and Real Estate Purchase and Sale'],Unprohibited,Nakheel2
https://eservices.ajmanded.ae/en/TradeLicense/License/ecd80ec4-ef18-4888-aed9-b647812f0366,21398,Professional License,Limited Liability Company,شركة الزاجل للعقارات - ذ.م.م,AL ZAJEL REAL ESTATE CO - L.L.C,30/05/1994,04/01/2026,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/6df01dd9-f344-4a30-ad96-bc9f33ab2a47,21882,Trade License,Limited Liability Company,العوضي للعقارات (ذ.م.م),(AL AWADI REAL ESTATE (L.L.C,27/07/1994,17/01/2014,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/48c4b1c0-478c-4227-b836-4910faa4c0e5,21985,Trade License,Limited Liability Company,النهام للعقارات (ذ.م.م),.(AL NAHHAM REAL ESTATE (L.L.C,16/08/1994,16/08/2025,"['Real Estate Lease and Management Services', 'Real Estate Leasing Brokerage', 'Real Estate Purchase and Sale Brokerage']",Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/0a6b3abc-4bcd-4a42-9bc9-ad202142f9ce,22099,Trade License,Limited Liability Company,الضيافة لبيع وشراء وتأجير العقارات - ذ.م.م,AL DHIAFA REAL ESTATE SELLING BUYING AND RENTIN - L.L.C,04/09/1994,16/05/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya3
https://eservices.ajmanded.ae/en/TradeLicense/License/cd3cf8ed-c7ab-4bbe-b7bc-9332a51e9a6c,22140,Trade License,Limited Liability Company,شركة السعيدي العقارية/ذ.م.م,AL SAEEDI REAL ESTATE. CO /L.L.C,18/09/1994,11/02/2026,"['Land and Real Estate Purchase and Sale', 'Self-owned Property Management Services']",Unprohibited,Humaideya1
https://eservices.ajmanded.ae/en/TradeLicense/License/f533b942-e3db-497c-bb40-c33d65684164,22150,Trade License,Limited Liability Company,شاهين للعقارات/(ذ.م.م.),.SHAHEEN REAL ESTATE/L.L.C,26/09/1994,08/02/2009,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya1
https://eservices.ajmanded.ae/en/TradeLicense/License/bd1c4f68-9982-4a50-af91-c3a150350411,22170,Trade License,Sole Establishment,بن سلطان للعقارات,BIN SULTAN REAL ESTATE,01/10/1995,22/06/2005,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/ba93079c-aea5-495e-99db-d921f311793e,22190,Trade License,Sole Establishment,المشرق للعقارات,.AL MASHRIQ REAL ESTATE,10/10/1994,12/05/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/72932064-b208-435d-9839-71fe17ac642b,22292,Trade License,Sole Establishment,التسامح للعقارات,AL TASAMOH REAL ESTATE,24/11/1994,20/06/2012,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/2b08f6d4-9a82-42fc-886a-6546c069266c,22308,Trade License,Sole Establishment,التنسيق لبيع وشراء وادارة العقارات,"AL TANSIQ SELLING , BUYING & MANAGEMENT REAL ESTATE",01/12/1994,06/01/2026,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/15358073-0fbb-4a7a-b4e6-4dbe4e7a26b8,22347,Trade License,Sole Establishment,المدينة للعقارات,AL MADINA REAL ESTATE,21/12/1994,04/08/2014,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/a84a57a6-37f8-4af6-ae7b-446e6ab77fe0,22354,Trade License,Sole Establishment,الرملة للعقارات,AL RAMLA REAL ESTATE,27/12/1994,04/04/2026,['Real Estate Lease and Management Services'],Unprohibited,Mowaihat2
https://eservices.ajmanded.ae/en/TradeLicense/License/ffb27059-f55f-4c86-9a6c-c3b7dcfca51a,22399,Trade License,Sole Establishment,البنيان العقارية ,ALBONIAN REAL ESTATE ,21/01/1995,14/02/2026,['Self-owned Property Management Services'],Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/09ce4fa1-5f85-451e-a25e-57e2715f22a1,22414,Trade License,Sole Establishment,مؤسسة الدار للعقارات,.AL DAR REAL ESTATE EST,25/01/1995,13/02/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya1
https://eservices.ajmanded.ae/en/TradeLicense/License/918395bc-f918-4dc9-b470-bf5c2bab961a,22423,Trade License,Sole Establishment,جاسم للعقارات,.JASIM REAL ESTATE,28/01/1995,08/02/2017,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Liwara1
https://eservices.ajmanded.ae/en/TradeLicense/License/d4165188-64fa-4fe6-a1f7-72de28ecd95e,22536,Trade License,Sole Establishment,مكتب الكندري للعقارات,AL KANDARI REAL ESTATE OFFICE,18/03/1995,30/06/2011,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/97b45e01-f30c-46a0-95fd-5b8aaf3e993d,22557,Trade License,Sole Establishment,التقدم للعقارات ,AL TQADUM REAL ESTATE ,27/03/1995,15/08/2025,['Land and Real Estate Purchase and Sale'],Unprohibited,Rashideya1
https://eservices.ajmanded.ae/en/TradeLicense/License/3c0a0072-f897-4556-b40a-ab23a1bc0c78,22718,Trade License,Sole Establishment,الرميلة للعقارات,AL RUMAILA REAL ESTATE,25/05/1995,24/02/2019,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/589c895c-30eb-4b73-b1bc-74c37fbbe8a9,22771,Trade License,Sole Establishment,مؤسسة عبدالعزيز عبدالكريم العقارية,ABDUL AZIZ ABDUL KAREEM REAL ESTATE EST,18/06/1995,17/10/2007,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/37712488-339b-49b0-a9a4-badefa91210e,22797,Trade License,Sole Establishment,المجموعة العقارية المحدودة,REAL ESTATE GROUP  LTD,27/06/1995,27/08/2009,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/09c5c8b8-686b-4410-b0c3-5a1d4ca3751c,22804,Trade License,Sole Establishment,الفارس للعقارات,AL FARES REAL ESTATE,28/06/1995,30/03/2014,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rashideya3
https://eservices.ajmanded.ae/en/TradeLicense/License/4356e3a8-0dbb-4faf-aee1-e90ea498516b,22824,Trade License,Limited Liability Company,اكسبرس للعقارات ذ.م.م,EXPRESS REAL ESTATE L.L.C,04/07/1995,11/12/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rumaila1
https://eservices.ajmanded.ae/en/TradeLicense/License/69e27062-a0ec-4af7-9506-00c74d5024d4,23144,Trade License,Limited Liability Company,الاختيار الاول للعقارات /(ذ.م.م ),FIRST CHOICE REAL ESTATE /L.L.C,08/11/1995,20/01/2019,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/acb298ff-510a-46fb-a32d-7621f95994f9,23256,Trade License,Limited Liability Company,الديوان للاستثمار العقاري (ذ.م.م),.AL DIWAN REAL ESTATE INVESTMENT/L.L.C,25/12/1995,20/03/2026,['Real Estate Lease and Management Services'],Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/23f60532-4219-4af3-ab7a-e9637774fc68,23454,Trade License,Sole Establishment,الثقة للعقارات,.AL THEQA REAL ESTATES,02/04/1996,21/01/2000,not available,Unprohibited,Ajman Industrial1
https://eservices.ajmanded.ae/en/TradeLicense/License/550d1d77-86d2-49cd-adba-ff430a8bd0ed,23489,Trade License,Sole Establishment,علي لبيع وشراء وتأجير العقارات,".ALI REAL ESTATE SELLING , BUYING & RENT",20/04/1996,03/06/2000,not available,Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/666d0835-38ca-4385-837b-0bd762291c9b,23500,Trade License,Sole Establishment,النورس للعقارات,AL NAWRAS REAL ESTATE,22/04/1996,12/04/2026,['Real Estate Lease and Management Services'],Unprohibited,Nakheel2
https://eservices.ajmanded.ae/en/TradeLicense/License/ca1ac9c7-5cc1-4a4d-8517-187a09d69206,24024,Trade License,Sole Establishment,ريم لتجارة الاراضي والعقارات,REEM LANDS & REAL ESTATE TRADING,27/10/1996,01/12/2017,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Prohibited ,Nuaimeya1
https://eservices.ajmanded.ae/en/TradeLicense/License/16b59806-0625-463c-80ff-797b800b685b,24197,Trade License,Sole Establishment,العبيدلي للعقارات,.AL OBAIDLY REAL ESTATE,24/12/1996,07/01/2026,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rawdha2
https://eservices.ajmanded.ae/en/TradeLicense/License/2f07158a-e4da-4176-90a0-806b8a85121c,24232,Trade License,Sole Establishment,الدره للعقارات ,ALDURAH REAL ESTATE ,06/01/1997,14/09/2025,"['Land and Real Estate Purchase and Sale', 'Real Estate Lease and Management Services']",Unprohibited,Rawdha2
https://eservices.ajmanded.ae/en/TradeLicense/License/2c04c252-1a46-4cf9-9dc7-21eb87fc3130,24251,Trade License,Sole Establishment,مؤسسة الشرفا العقارية,.AL SHORAFA REAL ESTATE EST,13/01/1997,28/04/2025,['Real Estate Lease and Management Services'],Unprohibited,Rumaila3
https://eservices.ajmanded.ae/en/TradeLicense/License/c9cf366e-2f36-44db-914f-ab7e5896cf65,24559,Trade License,Sole Establishment,مؤسسة المرزوقي العقارية,.AL MARZOUKI REAL ESTATE EST,14/05/1997,03/12/2001,['Land and Real Estate Purchase and Sale'],Unprohibited,Liwara1
https://eservices.ajmanded.ae/en/TradeLicense/License/7c40aa1d-a97c-43c9-a9a1-db7205aa06b8,24707,Trade License,Sole Establishment,كونتراكت للعقارات,CONTRACT REAL ESTATE,28/06/1997,22/04/2026,['Real Estate Lease and Management Services'],Unprohibited,Nakheel1
https://eservices.ajmanded.ae/en/TradeLicense/License/70c66a36-fe6f-479c-860c-7afb6ad52e18,24717,Trade License,Sole Establishment,بن سالمين للعقارات,BIN SALMEEN REAL ESTATE,01/07/1997,03/07/2025,['Self-owned Property Management Services'],Unprohibited,Rashideya2
https://eservices.ajmanded.ae/en/TradeLicense/License/cc18224d-7961-4dd8-84e3-b6191d47797b,24814,Trade License,Sole Establishment,مؤسسة السد العالي العقارية,.AL SAD AL AALI REAL ESTATE EST,22/07/1997,12/02/2026,['Real Estate Lease and Management Services'],Unprohibited,Nuaimeya2
https://eservices.ajmanded.ae/en/TradeLicense/License/fc9268f0-b0e5-483c-a95c-a3f7c8ea21ea,25578,Trade License,.,روكي للعقارات(ذ.م.م),(ROCKY REAL ESTATE (L.L.C,09/02/1998,08/04/2001,not available,Prohibited ,Nuaimeya1
